px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
-24.9456	4.89808	4.81951	0.96695	-0.488771	-25.0363	4.88499	-24.8126	4.90303	2.83361	4.03273	9.62896e-007
-24.7895	5.08947	4.821	0.937117	-0.492743	-24.3609	4.95947	-24.6686	5.10304	2.92701	3.97132	5.86724e-005
-24.6222	5.2999	4.85629	0.908893	-0.495542	-24.5041	5.35293	-24.5201	5.29995	3.01833	3.90839	1.03393e-006
-24.4503	5.47758	4.86597	0.865216	-0.532101	-24.4379	5.24592	-24.367	5.49367	3.10754	3.84401	7.13367e-005
-24.2635	5.64991	4.86978	0.828094	-0.543214	-24.1159	5.61152	-24.2095	5.68414	3.19464	3.77827	1.13599e-006
-24.0975	5.81226	4.86006	0.791864	-0.563297	-24.5638	4.75836	-24.0477	5.8713	3.27959	3.71127	9.01339e-005
-23.9234	5.97319	4.84965	0.761108	-0.566431	-23.9153	5.94377	-23.8818	6.05508	3.36239	3.64309	1.25931e-006
-23.7792	6.16123	4.81712	0.77078	-0.489177	-23.5491	6.44495	-23.7117	6.23542	3.44302	3.57383	0.000110228
-23.6114	6.31755	4.80147	0.745858	-0.490229	-23.6471	6.29102	-23.5377	6.41227	3.52148	3.50357	1.38899e-006
-23.462	6.49393	4.78239	0.743233	-0.451311	-23.7544	6.53746	-23.3598	6.58559	3.59775	3.4324	0.000120072
-23.2401	6.70865	4.87788	0.723698	-0.444951	-23.0099	6.86182	-23.1781	6.75533	3.67185	3.36041	1.4788e-006
-23.0445	6.85174	4.86245	0.698496	-0.440931	-22.7862	5.74143	-22.9928	6.92146	3.74376	3.28768	0.000129622
-22.8319	7.02217	4.90048	0.674565	-0.441872	-22.6991	7.063	-22.804	7.08393	3.8135	3.21431	1.57013e-006
-22.62	7.15674	4.90672	0.63823	-0.464544	-22.418	6.76159	-22.6117	7.24273	3.88106	3.14038	0.000141624
-22.4347	7.30317	4.89788	0.619056	-0.460427	-22.5083	7.31524	-22.4161	7.39782	3.94647	3.06598	1.66334e-006
-22.2064	7.42707	4.93287	0.569015	-0.51419	-22.0543	7.85452	-22.2173	7.54917	4.00974	2.99118	0.000156915
-22.0254	7.58962	4.93871	0.560036	-0.495983	-22.1947	7.69478	-22.0154	7.69679	4.07087	2.91607	1.78696e-006
-21.8416	7.75972	4.92954	0.567735	-0.43939	-21.6178	9.0351	-21.8105	7.84064	4.12989	2.84074	0.000178033
-21.634	7.90271	4.94024	0.550234	-0.434233	-21.6473	7.94	-21.6026	7.98072	4.18681	2.76526	1.91201e-006
-21.4428	8.03857	4.92039	0.540643	-0.413904	-21.8637	7.78661	-21.392	8.11703	4.24166	2.68971	0.000185286
-21.2147	8.07941	4.86043	0.488686	-0.449386	-21.0853	7.83229	-21.1787	8.24957	4.29447	2.61417	1.96735e-006
-21.0226	8.23647	4.84072	0.50497	-0.377251	-20.5503	9.28616	-20.9628	8.37833	4.34526	2.53871	0.000201189
-20.8439	8.38809	4.83784	0.505491	-0.356064	-21.0519	8.50983	-20.7444	8.50333	4.39406	2.46341	2.06705e-006
-20.6034	8.49735	4.87811	0.470716	-0.388892	-19.9265	9.40847	-20.5237	8.62457	4.4409	2.38835	0.000200347
-20.3562	8.63173	4.93012	0.454903	-0.383831	-20.21	8.68914	-20.3006	8.74206	4.48582	2.31358	2.12608e-006
-20.1568	8.76518	4.90374	0.463088	-0.332822	-20.2277	8.8532	-20.0753	8.85583	4.52884	2.23919	0.00021727
-19.9566	8.86822	4.87886	0.448317	-0.331247	-20.0633	8.86724	-19.848	8.96589	4.57001	2.16524	2.1979e-006
-19.7558	8.99112	4.85247	0.453522	-0.289682	-19.9264	8.78179	-19.6186	9.07227	4.60937	2.09179	0.0002158
-19.5327	9.06341	4.832	0.426539	-0.303666	-19.4861	8.96665	-19.3873	9.17499	4.64694	2.01891	2.17981e-006
-19.2933	9.16987	4.86642	0.407084	-0.314293	-18.5719	10.2069	-19.1542	9.27409	4.68278	1.94666	0.00021752
-19.01	9.25692	4.92634	0.378977	-0.326965	-18.6786	9.19191	-18.9193	9.36959	4.71692	1.8751	2.23217e-006
-18.7921	9.3418	4.91321	0.361253	-0.331122	-19.2825	8.98189	-18.6827	9.46154	4.7494	1.80429	0.000235568
-18.5387	9.44196	4.95018	0.346906	-0.328112	-18.4242	9.46852	-18.4446	9.54996	4.78028	1.73429	2.33051e-006
-18.2742	9.4706	4.97851	0.289735	-0.397725	-18.1634	8.72444	-18.2049	9.63492	4.80959	1.66514	0.000247347
-17.9871	9.59669	5.07267	0.285088	-0.379273	-17.7736	9.72478	-17.9639	9.71643	4.83737	1.59691	2.44822e-006
-17.7426	9.68763	5.06619	0.284985	-0.341735	-17.2296	9.97767	-17.7214	9.79457	4.86368	1.52964	0.000276012
-17.4696	9.79515	5.12514	0.279116	-0.328172	-17.3436	9.88109	-17.4777	9.86936	4.88856	1.46338	2.6181e-006
-17.2226	9.8704	5.13218	0.263989	-0.328629	-17.1554	10.212	-17.2328	9.94087	4.91205	1.39818	0.00028128
-16.9523	9.99377	5.19375	0.267715	-0.305265	-16.8876	10.145	-16.9868	10.0091	4.93421	1.33408	2.6563e-006
-16.6982	10.0594	5.19812	0.251156	-0.307409	-16.5958	10.1078	-16.7396	10.0743	4.95507	1.27113	0.000279938
-16.4499	10.1681	5.22009	0.253811	-0.287271	-16.5153	10.3091	-16.4915	10.1362	4.97469	1.20937	2.6207e-006
-16.1938	10.2347	5.2312	0.237247	-0.294379	-16.09	10.5824	-16.2424	10.1952	4.99311	1.14883	0.000272408
-15.9551	10.2631	5.19489	0.21199	-0.306405	-16.006	10.1843	-15.9924	10.2511	5.01039	1.08956	2.54345e-006
-15.707	10.3292	5.18565	0.206895	-0.287864	-15.7234	10.41	-15.7416	10.3041	5.02655	1.03159	0.000274129
-15.4811	10.3266	5.12316	0.174019	-0.309048	-15.5699	10.1904	-15.4899	10.3543	5.04166	0.974957	2.51206e-006
-15.1893	10.3461	5.18966	0.133059	-0.35857	-14.2385	10.9109	-15.2376	10.4016	5.05576	0.919692	0.000279924
-14.9284	10.4021	5.20553	0.1241	-0.348352	-14.9365	10.4722	-14.9846	10.4462	5.06889	0.865828	2.6059e-006
-14.6823	10.4411	5.15791	0.127285	-0.299615	-14.724	9.63507	-14.7309	10.4882	5.0811	0.813394	0.00030572
-14.4359	10.4092	5.11882	0.0881125	-0.327432	-14.4088	10.222	-14.4766	10.5276	5.09243	0.762418	2.68845e-006
-14.1752	10.4354	5.12271	0.0762197	-0.318329	-13.9005	10.5238	-14.2218	10.5645	5.10293	0.712926	0.000318021
-13.8749	10.5822	5.23012	0.110153	-0.259874	-13.8049	10.9383	-13.9665	10.5989	5.11263	0.664944	2.81121e-006
-13.6184	10.6465	5.21264	0.125933	-0.205907	-13.3956	10.7857	-13.7107	10.631	5.12159	0.618496	0.000318157
-13.3658	10.6465	5.19341	0.10335	-0.220002	-13.3556	10.5517	-13.4545	10.6608	5.12983	0.573603	2.7816e-006
-13.1025	10.6727	5.20272	0.0912494	-0.223057	-12.9374	10.8137	-13.1979	10.6884	5.13741	0.530288	0.000302259
-12.8472	10.7666	5.22341	0.108455	-0.191103	-12.9591	11.0099	-12.9409	10.7138	5.14436	0.48857	2.66591e-006
-12.5821	10.8186	5.23197	0.11275	-0.169029	-12.2518	11.2495	-12.6836	10.7373	5.15071	0.448467	0.000284188
-12.3436	10.7869	5.18354	0.0814328	-0.194705	-12.3713	10.6091	-12.426	10.7587	5.15651	0.409997	2.51313e-006
-12.0851	10.8264	5.17773	0.0863188	-0.167532	-11.9352	10.9161	-12.1681	10.7783	5.16179	0.373177	0.000274136
-11.8378	10.8899	5.17827	0.0946006	-0.149013	-11.9451	11.0515	-11.91	10.7961	5.16658	0.338022	2.40313e-006
-11.5615	10.9106	5.20213	0.0853816	-0.151238	-10.9703	10.9676	-11.6516	10.8121	5.17092	0.304546	0.000255027
-11.3299	10.9259	5.1645	0.0761186	-0.153181	-11.4548	10.9407	-11.393	10.8265	5.17484	0.272761	2.283e-006
-11.0665	10.8567	5.19541	0.00349636	-0.273451	-11.3472	10.5111	-11.1342	10.8394	5.17836	0.242681	0.000244707
-10.7779	10.8274	5.22511	-0.0215116	-0.285786	-10.6009	10.6823	-10.8753	10.8509	5.18153	0.214317	2.20351e-006
-10.5221	10.8239	5.21736	-0.0332327	-0.281348	-10.6563	10.8369	-10.6161	10.8609	5.18435	0.187679	0.000274912
-10.287	10.819	5.18521	-0.0452223	-0.279372	-10.4142	10.8747	-10.3569	10.8697	5.18687	0.162776	2.34756e-006
-10.0358	10.8765	5.14508	-0.00824744	-0.185679	-9.90413	11.2255	-10.0976	10.8772	5.1891	0.139618	0.000286808
-9.77664	10.9217	5.1591	0.00153539	-0.163997	-9.83445	11.1032	-9.83809	10.8837	5.19106	0.118212	2.38438e-006
-9.54177	10.9052	5.12149	-0.0110487	-0.165847	-10.195	10.3498	-9.57852	10.8891	5.19278	0.0985664	0.000262334
-9.28266	10.9295	5.13192	-0.00836691	-0.153533	-9.3066	11.0348	-9.31887	10.8936	5.19428	0.0806865	2.22599e-006
-9.03415	10.912	5.11146	-0.0174803	-0.148504	-9.2226	10.3527	-9.05915	10.8972	5.19557	0.0645787	0.000245156
-8.77211	10.9412	5.12751	-0.0114428	-0.133537	-8.78899	11.0707	-8.79937	10.9001	5.19667	0.050248	2.10179e-006
-8.52905	10.9004	5.10098	-0.0316596	-0.146953	-8.83914	10.0319	-8.53953	10.9023	5.19759	0.0376992	0.000227771
-8.35426	10.825	4.98074	-0.0659882	-0.17675	-8.62045	10.6577	-8.27965	10.9039	5.19835	0.0269359	1.96953e-006
-8.10102	10.8395	4.97909	-0.0542132	-0.141225	-7.91543	11.1157	-8.01974	10.905	5.19896	0.0179617	0.000227358
-7.77782	10.8781	5.08905	-0.038846	-0.116021	-7.51971	11.0005	-7.75979	10.9057	5.19942	0.0107791	1.94447e-006
-7.51485	10.8798	5.08965	-0.03	-0.0847871	-7.25987	10.6458	-7.49981	10.9061	5.19975	0.00539029	0.000214143
-7.24264	10.8654	5.11311	-0.0361965	-0.086959	-7.15631	10.815	-7.23983	10.9063	5.19994	0.00179692	1.87691e-006
-7.00108	10.901	5.08045	-0.00690357	-0.0242562	-7.39396	11.0181	-6.97983	10.9064	5.2	-7.84874e-015	0.000193134
